ten_mon,ten_khac_bien_the,nhom_mon,mo_ta_ngan,thanh_phan_dac_trung,khu_vuc_pho_bien_o_Ha_Noi,an_sang_trua_toi_an_vat,muc_do_pho_bien,nguon_tham_khao
Trứng vịt lộn,hột vịt lộn; trứng vịt lộn ngải cứu,Ăn vặt,"Trứng vịt có phôi luộc, thường ăn với rau răm hoặc hầm ngải cứu.","trứng vịt lộn, rau răm, gừng, ngải cứu",Chợ; phố; quán đêm,sáng; tối; ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bánh gối,bánh xếp chiên kiểu Hà Nội,Ăn vặt chiên,"Vỏ bột chiên phồng bọc thịt, miến, mộc nhĩ và trứng cút.","bột mì, thịt băm, miến, mộc nhĩ, trứng cút",Phố cổ; Lý Quốc Sư; chợ,ăn vặt; tối,Rất phổ biến,https://vietnam.travel/node/1560
Bánh rán mặn,bánh rán nhân thịt,Ăn vặt chiên,"Bánh nếp chiên giòn nhân thịt miến mộc nhĩ, ăn với nước mắm.","bột nếp, thịt băm, miến, mộc nhĩ, đu đủ",Chợ; phố cổ; khu trường học,ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Nem chua rán,nem rán phố Tạm Thương,Ăn vặt đường phố,"Thanh nem thịt lên men nhẹ, áo bột và chiên giòn.","thịt lợn, bì, thính, bột chiên, tương ớt",Tạm Thương; phố cổ; khu sinh viên,ăn vặt; tối,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Nộm bò khô,gỏi đu đủ bò khô,Ăn vặt Hà Nội,"Đu đủ xanh trộn bò khô, lạc, rau thơm và nước chua ngọt.","đu đủ xanh, bò khô, lạc, rau kinh giới, nước mắm",Hoàn Kiếm; phố cổ; công viên,ăn vặt,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Ngao hấp sả,nghêu hấp; ngao hấp Thái,Ăn vặt hải sản,"Ngao hấp sả ớt, có bản nước chua cay kiểu Thái.","ngao, sả, ớt, lá chanh, me",Quán ốc toàn thành phố,tối; ăn vặt,Phổ biến,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Ốc luộc,ốc nóng; ốc hấp sả,Ăn vặt hải sản,"Ốc luộc/hấp thơm sả lá chanh, chấm nước mắm gừng.","ốc, sả, lá chanh, gừng, nước mắm",Phố cổ; Hồ Tây; khu dân cư,tối; ăn vặt,Rất phổ biến,https://vietnam.travel/node/1560
Bánh tráng trộn,bánh tráng sa tế,Ăn vặt miền Nam,"Bánh tráng cắt sợi trộn xoài, bò khô, trứng cút và sa tế.","bánh tráng, xoài, bò khô, trứng cút, sa tế, rau răm",Khu trường học; chợ; online,ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Chân gà nướng,chân gà nướng mật ong; chân gà sả ớt,Ăn vặt nướng,"Chân gà ướp đậm vị nướng than, ăn kèm dưa góp.","chân gà, mật ong, sả, ớt, dưa góp",Phố cổ; Lý Văn Phức; khu sinh viên,tối; ăn vặt,Rất phổ biến,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Thịt xiên nướng,xiên nướng vỉa hè,Ăn vặt nướng,"Thịt lợn ướp ngọt mặn xiên que nướng, đôi khi kẹp bánh mì.","thịt lợn, sả, mật ong, xì dầu, vừng",Cổng trường; chợ; phố cổ,ăn vặt; tối,Rất phổ biến,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
