ma_mon,ten_mon,nhom_mon,stt_thanh_phan,thanh_phan_goc,thanh_phan_chuan_hoa,ten_tham_chieu_tieng_anh,nhom_thanh_phan,trang_thai_tham_chieu,vai_tro_trong_mon,phan_an_duoc,loai_dong,nhom_lua_chon,tinh_vao_tong_mac_dinh,khoi_luong_uoc_tinh_g_moi_suat,kcal_tren_100g,kcal_uoc_tinh_thanh_phan_trong_suat,tong_kcal_uoc_tinh_tu_thanh_phan_da_liet_ke_mac_dinh,ty_le_kcal_trong_tong_thanh_phan_da_liet_ke_phan_tram,co_so_khoi_luong,pham_vi_du_lieu,nguon_kcal,ma_du_lieu_nguon,energy_nutrient_field,ten_ban_ghi_nguon,url_nguon_kcal,url_nguon_mon_goc,do_tin_cay_kcal_100g,do_tin_cay_khoi_luong,ghi_chu,ngay_tra_cuu
HN001,Trứng vịt lộn,Ăn vặt,1,trứng vịt lộn,Trứng vịt lộn luộc,"Balut, cooked",trứng,"chín, phần ăn được",dam_chinh,có,thành phần được liệt kê,,có,70,182,127.4,144.8,88,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Balut, cooked",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,trung_binh,thap,"Đại diện cho trứng vịt lộn luộc. Một quả cỡ vừa, khối lượng phần ăn được không tính vỏ.",2026-08-02
HN001,Trứng vịt lộn,Ăn vặt,2,rau răm,Rau răm,Vietnamese coriander,rau thơm,"tươi, sống",rau_thom,có,thành phần được liệt kê,,có,15,30,4.5,144.8,3.1,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Vietnamese coriander,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,trung_binh,thap,Ước tính theo rau thơm tươi. Một nhúm rau thơm/lá gia vị ăn được trong một suất.,2026-08-02
HN001,Trứng vịt lộn,Ăn vặt,3,gừng,Gừng tươi,"Ginger root, raw",gia vị,"tươi, sống",gia_vi_tuoi,có,thành phần được liệt kê,,có,8,80,6.4,144.8,4.4,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 11216,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"GINGER ROOT,RAW",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,cao,thap,Gừng củ tươi. Lượng gia vị tươi ước/nấu trong một suất; không nhất thiết ăn hết phần xác. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.,2026-08-02
HN001,Trứng vịt lộn,Ăn vặt,4,ngải cứu,Rau ngải cứu,Mugwort leaves,rau lá,tươi,rau_thom,có,thành phần được liệt kê,,có,15,43,6.5,144.8,4.5,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Mugwort leaves,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,trung_binh,thap,Ước tính cho lá tươi ăn được. Một nhúm rau thơm/lá gia vị ăn được trong một suất.,2026-08-02
HN002,Bánh gối,Ăn vặt chiên,1,bột mì,Bột mì đa dụng,"Wheat flour, all-purpose",bột/ngũ cốc,khô,tinh_bot_chinh_kho,có,thành phần được liệt kê,,có,70,364,254.8,642.2,39.7,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"Wheat flour, all-purpose",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/node/1560,cao,thap,Bột mì trắng đa dụng. Lượng bột khô quy đổi trong một phần bánh/món.,2026-08-02
HN002,Bánh gối,Ăn vặt chiên,2,thịt băm,Thịt lợn băm chín,"Ground pork, cooked",thịt,chín,dam_chinh_hoac_nhan,có,thành phần được liệt kê,,có,70,297,207.9,642.2,32.4,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Ground pork, cooked",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/node/1560,trung_binh,thap,Giả định thịt lợn băm độ béo vừa. Thịt chín dùng làm nhân/topping; nếu là nguyên liệu đầu tiên của món có thể nâng lên 90 g.,2026-08-02
HN002,Bánh gối,Ăn vặt chiên,3,miến,Miến dong đã nấu,"Glass noodles, cooked",mì/bún,"chín, ngậm nước",tinh_bot_chinh_da_chin,có,thành phần được liệt kê,,có,160,80,128,642.2,19.9,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Glass noodles, cooked",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/node/1560,trung_binh,thap,Mật độ năng lượng sau khi nấu. Khối lượng miến đã ngâm/nấu trong một phần.,2026-08-02
HN002,Bánh gối,Ăn vặt chiên,4,mộc nhĩ,Mộc nhĩ ngâm nở,"Wood ear mushroom, rehydrated",nấm,ngâm nở,nam_rau_phu,có,thành phần được liệt kê,,có,35,25,8.8,642.2,1.4,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Wood ear mushroom, rehydrated",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/node/1560,trung_binh,thap,Không dùng giá trị mộc nhĩ khô. Khối lượng nấm/mộc nhĩ sau ngâm hoặc nấu trong một suất.,2026-08-02
HN002,Bánh gối,Ăn vặt chiên,5,trứng cút,Trứng cút nguyên quả,"Quail egg, whole",trứng,chín hoặc sống nguyên quả,dam_phu,có,thành phần được liệt kê,,có,27,158,42.7,642.2,6.6,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 01140,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"EGG,QUAIL,WHOLE,FRESH,RAW",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/node/1560,cao,thap,"Giá trị nguyên quả phần ăn được. Khoảng ba quả trứng cút, bỏ vỏ. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.",2026-08-02
HN003,Bánh rán mặn,Ăn vặt chiên,1,bột nếp,Bột gạo nếp,Glutinous rice flour,bột/ngũ cốc,khô,tinh_bot_chinh_kho,có,thành phần được liệt kê,,có,70,366,256.2,631,40.6,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Glutinous rice flour,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,cao,thap,Bột nếp khô. Lượng nguyên liệu nếp/cốm cho một phần bánh/quà.,2026-08-02
