id,name,category,meal,style,base_description,toppings_or_options,common_variants,serving,allergens,price_band_vnd,source_url,source_note,status
hanoi-pho-bo,Phở bò,Hanoi noodle,Breakfast/Lunch,traditional,"Nước dùng bò, bánh phở, thịt bò","tái; chín; nạm; gầu; sách; gân; bò viên; hành; rau thơm; chanh; ớt","phở tái; phở chín; phở tái nạm; phở gầu gân",1 tô,"gluten; beef",35000-90000,https://en.wikipedia.org/wiki/Ph%E1%BB%9F,"Cultural reference; nutrition varies by shop",curated
hanoi-pho-ga,Phở gà,Hanoi noodle,Breakfast/Lunch,traditional,"Nước dùng gà, bánh phở, thịt gà","đùi; lườn; tràng; lòng; da gà; hành; rau thơm; chanh; ớt","phở gà xé; phở gà đùi; phở gà tràng",1 tô,"gluten; poultry",35000-80000,https://en.wikipedia.org/wiki/Ph%E1%BB%9F,"Cultural reference; nutrition varies by shop",curated
hanoi-bun-cha,Bún chả,Hanoi grilled pork,Lunch,traditional,"Bún, chả viên, chả miếng, nước chấm","chả viên; chả miếng; nem cua bể; rau sống; đu đủ; cà rốt; ớt; tỏi","bún chả thường; bún chả kèm nem; bún chả nhiều chả",1 phần,"fish sauce; possible gluten",45000-100000,https://en.wikipedia.org/wiki/B%C3%BAn_ch%E1%BA%A3,"Cultural reference; nutrition varies by shop",curated
hanoi-bun-thang,Bún thang,Hanoi noodle,Breakfast/Lunch,traditional,"Bún, nước dùng thanh, gà, trứng, giò","gà xé; trứng thái sợi; giò lụa; tôm khô; củ cải; rau răm; mắm tôm","bún thang truyền thống; bún thang thêm trứng",1 tô,"egg; poultry; fish; shrimp",50000-120000,https://vi.wikipedia.org/wiki/B%C3%BAn_thang,"Cultural reference; nutrition varies by shop",curated
hanoi-bun-oc,Bún ốc,Hanoi noodle,Breakfast/Lunch,traditional,"Bún, ốc, nước dùng cà chua hoặc thanh","ốc nhỏ; ốc bươu; giò; đậu; chuối xanh; tía tô; rau muống; ớt","bún ốc nóng; bún ốc nguội; bún ốc chuối đậu",1 tô,"shellfish; fish",35000-90000,https://en.wikipedia.org/wiki/B%C3%BAn_%E1%BB%91c,"Cultural reference; nutrition varies by shop",curated
hanoi-bun-rieu,Bún riêu,Hanoi noodle,Breakfast/Lunch,traditional,"Bún, riêu cua, cà chua, nước dùng","riêu cua; giò; đậu; huyết; ốc; chả; rau muống; tía tô; mắm tôm","bún riêu cua; bún riêu ốc; bún riêu giò",1 tô,"crab; shellfish; fish; soy",35000-90000,https://en.wikipedia.org/wiki/B%C3%BAn_ri%C3%AAu,"Cultural reference; nutrition varies by shop",curated
hanoi-bun-moc,Bún mọc,Hanoi noodle,Breakfast/Lunch,traditional,"Bún, mọc thịt, nước dùng xương","mọc; sườn; giò; măng; nấm hương; rau thơm; hành","bún mọc sườn; bún mọc măng",1 tô,"pork; soy",35000-85000,https://vietnam.travel/places-to-go/northern-vietnam/hanoi,"Tourism reference; nutrition varies by shop",curated
hanoi-banh-cuon,Bánh cuốn,Hanoi breakfast,Breakfast,traditional,"Bánh bột gạo hấp, nhân thịt mộc nhĩ","thịt băm; mộc nhĩ; hành phi; chả quế; nem; trứng; rau thơm; nước chấm","bánh cuốn nóng; bánh cuốn trứng; bánh cuốn chả",1 đĩa,"gluten possible; pork",30000-80000,https://en.wikipedia.org/wiki/B%C3%A1nh_cu%E1%BB%91n,"Cultural reference; nutrition varies by shop",curated
hanoi-banh-tom,Bánh tôm Hồ Tây,Fried snack,Snack,traditional,"Tôm chiên bột, ăn với rau và nước chấm","tôm; rau sống; dưa góp; nước chấm; ớt; tỏi","bánh tôm thường; bánh tôm thêm khoai",4-6 chiếc,"shellfish; gluten",50000-150000,https://en.wikipedia.org/wiki/B%C3%A1nh_t%C3%B4m,"Cultural reference; nutrition varies by shop",curated
hanoi-cha-ca,Chả cá Lã Vọng,Hanoi grilled fish,Lunch/Dinner,traditional,"Cá nướng áp chảo với nghệ, thì là, hành","cá lăng; thì là; hành; bún; lạc; mắm tôm; rau thơm; ớt","chả cá thường; chả cá không mắm tôm; thêm lòng cá",1 phần,"fish; peanut; fish sauce",120000-300000,https://en.wikipedia.org/wiki/Ch%E1%BA%A3_c%C3%A1_L%C3%A3_V%E1%BB%8Dng,"Cultural reference; nutrition varies by shop",curated
hanoi-pho-cuon,Phở cuốn,Hanoi roll,Lunch/Snack,traditional,"Bánh phở cuốn thịt bò xào và rau","bò xào; xà lách; rau thơm; dưa chuột; lạc; nước chấm","phở cuốn bò; phở cuốn gà; phở cuốn chay",6-10 cuốn,"gluten; peanut; fish sauce",50000-130000,https://vietnam.travel/places-to-go/northern-vietnam/hanoi,"Tourism reference; nutrition varies by shop",curated
hanoi-pho-chien,Phở chiên phồng,Hanoi fried noodle,Lunch/Dinner,traditional,"Bánh phở chiên phồng ăn với bò xào rau","bò; cải; cà chua; hành tây; sốt; trứng","phở chiên phồng bò; phở chiên trứng; phở chiên chay",1 đĩa,"gluten; beef; egg",60000-160000,https://vietnam.travel/places-to-go/northern-vietnam/hanoi,"Tourism reference; nutrition varies by shop",curated
hanoi-chao-suon,Cháo sườn,Hanoi porridge,Breakfast,traditional,"Cháo gạo xay nấu với sườn hoặc thịt","sườn; ruốc; quẩy; hành; tiêu; trứng bắc thảo","cháo sườn quẩy; cháo sườn trứng",1 bát,"pork; gluten possible; egg",25000-70000,https://vietnam.travel/places-to-go/northern-vietnam/hanoi,"Tourism reference; nutrition varies by shop",curated
hanoi-xoi-xeo,Xôi xéo,Hanoi sticky rice,Breakfast,traditional,"Xôi đậu xanh và hành phi","đậu xanh; hành phi; ruốc; trứng; chả; gà; pate","xôi xéo ruốc; xôi xéo gà; xôi xéo thập cẩm",1 gói,"soy; pork; egg",15000-60000,https://en.wikipedia.org/wiki/X%C3%B4i,"Cultural reference; nutrition varies by shop",curated
hanoi-banh-mi,Bánh mì Hà Nội,Street sandwich,Breakfast/Lunch,street food,"Bánh mì giòn với nhân mặn và rau dưa","pate; trứng; chả; thịt nướng; xúc xích; dưa chuột; rau mùi; tương ớt","bánh mì trứng; bánh mì pate; bánh mì thịt; bánh mì sốt vang",1 ổ,"gluten; egg; pork",20000-70000,https://en.wikipedia.org/wiki/B%C3%A1nh_m%C3%AC,"Cultural reference; nutrition varies by shop",curated
hanoi-bun-dau,Bún đậu mắm tôm,Hanoi platter,Lunch/Dinner,traditional,"Bún lá, đậu rán, thịt luộc và mắm tôm","đậu; chả cốm; thịt chân giò; nem; dồi; rau kinh giới; dưa chuột; mắm tôm","bún đậu thường; bún đậu đầy đủ; bún đậu chay",1 mẹt,"soy; fish; shrimp; pork; gluten possible",40000-120000,https://en.wikipedia.org/wiki/B%C3%BAn_%C4%91%E1%BA%ADu_m%E1%BA%AFm_t%C3%B4m,"Cultural reference; nutrition varies by shop",curated
hanoi-nem-cua-be,Nem cua bể,Hanoi fried roll,Lunch/Snack,traditional,"Nem vuông nhân cua thịt miến mộc nhĩ","cua; tôm; thịt; miến; mộc nhĩ; cà rốt; rau sống; bún","nem cua bể thường; nem cua bể kèm bún chả",2-4 chiếc,"shellfish; pork; gluten; egg",50000-160000,https://en.wikipedia.org/wiki/Nem_cua_b%E1%BB%83,"Cultural reference; nutrition varies by shop",curated
hanoi-nom-bo-kho,Nộm bò khô,Hanoi salad,Snack,street food,"Đu đủ xanh trộn bò khô và rau thơm","bò khô; đu đủ; cà rốt; lạc; rau kinh giới; xoài; nước trộn","nộm bò khô thường; nộm bò khô thêm gan; nộm thập cẩm",1 đĩa,"beef; peanut; fish",30000-80000,https://www.tripadvisor.com/Restaurants-g293924-Hanoi.html,"Restaurant discovery reference; shop variation",curated
hanoi-tau-pho,Tào phớ,Hanoi dessert,Snack,traditional,"Đậu hũ mềm với nước đường gừng","nước đường; gừng; trân châu; thạch; dừa; đậu đỏ","tào phớ nóng; tào phớ lạnh; tào phớ thạch",1 bát,"soy",15000-50000,https://en.wikipedia.org/wiki/T%C3%A0o_ph%E1%BB%9B,"Cultural reference; nutrition varies by shop",curated
hanoi-ca-phe-trung,Cà phê trứng,Hanoi drink,Snack,signature,"Cà phê với kem trứng đánh bông","trứng; sữa đặc; cacao; quế; cà phê nóng/lạnh","cà phê trứng nóng; cà phê trứng lạnh; cacao trứng",1 ly,"egg; dairy",35000-90000,https://en.wikipedia.org/wiki/Egg_coffee,"Cultural reference; nutrition varies by shop",curated
hanoi-thit-xien,Thịt xiên nướng,Hanoi street food,Snack,street food,"Thịt heo ướp nướng xiên","thịt nạc; mỡ; mè; tương ớt; dưa góp; bánh mì","thịt xiên thường; thịt xiên cay; xiên rau củ",2-6 xiên,"pork; sesame",20000-80000,https://www.tripadvisor.com/Restaurants-g293924-Hanoi.html,"Restaurant discovery reference; shop variation",curated
